method,mean_precision,median_precision,std_precision,n_periods,lift_vs_baseline
momentum,0.6880434782608696,0.8,0.3070545389708312,184,-0.0246533127889057
baseline,0.7054347826086955,0.8,0.2866288437755445,184,0.0
