method,mean_precision,median_precision,std_precision,n_periods,lift_vs_baseline
composite,0.6404371584699454,0.6,0.31986230749264394,183,-0.09428129829984513
momentum,0.6896174863387977,0.8,0.3071516898401647,183,-0.02472952086553314
zscore,0.6699453551912569,0.6,0.31920832232492624,183,-0.05255023183925784
baseline,0.7071038251366119,0.8,0.28651721682080206,183,0.0
