article_id,date,title,author,section,topic,tags,featured,url
PI0052,2023-09-30,London on a Budget: Tips for Making Extra Money,Zoë Dahse,Lifestyle & Culture,,Job Search; Finance; Student Life,,
PI0053,2023-10-19,AI language models support schizophrenia diagnosis: What does this mean for the future of psychiatry?,Maria Witczak,Science and Tech,,medicine; Research,,
PI0054,2023-10-20,UCL Friends of Israel organise vigil for fallen Israelis,Edouard De Bray,News,,"UCL Society, Israel, Israel-Gaza, Vigil",,
PI0055,2023-10-24,Our Students’ Union: celebrating 130 years,Conor Walsh,Features,,Student Union; Anniversary; UCL's Student Union,,
PI0056,2023-10-24,UCL Careers Fair receives mixed reviews from students,Benjamin Liu,News,,Careers; UCL; UCL Careers; Events; Professional Development; Recruitment; tech; law; Technology; Data; IT; IT Careers; Careers in Data; Law Careers; Management Careers; Consultancy; Management Consultancy; Banking; Economics; Finance; Banking Careers; Finance Careers; Economics Careers; Management Consultancy Careers,,
PI0057,2023-10-25,UCL Student Rep Elections: What’s Next?,Lewis Potts,News,,UCL; UCL's Student Union; Elections,,
PI0058,2023-11-10,How the West’s exploitation of Natural Resources is Fuelling a Silent Genocide in Congo,Milla Daubert,Opinion,,"Democratic Republic of Congo, Africa, Rwanda, Genocide, Postcolonialism",,
PI0059,2023-11-12,"Tate Britain: ""Women in Revolt!"" Exhibition Review",Emily Whitchurch,Lifestyle & Culture,,"Exhibitions, Art, Tate Britain, London",,
PI0060,2023-11-20,UCL Marxist Society Suspended Over “Controversial” Posters,Ammara Aslam,News,,Student Union; UCL's Student Union; Israel; Israel-Gaza; Palestine; UCL; UCL news; London News; Marxist Society,,
PI0061,2023-11-25,Festival of lights: how UCL celebrated Diwali,Layla Quaedvlieg,News,,"Diwali, Deepavali, UCL, UCL Society, culture, Cultural societies, News, UCL News",,
PI0062,2023-12-18,The upcoming UCL Leaders Conference will put technology in the spotlight,Benjamin Liu,News,,"UCL news, UCL Society, Leaders Conference, Student Experience, Technology",,
PI0063,2024-01-17,Beyond the White Cube: International Body of Art hosts launch event in Russell Square,Keziah Cho,Lifestyle & Culture,,International Body of Art; Art; Exhibitions,,
PI0064,2024-01-29,As Terrible as God: Drama society’s term one production,Ammara Aslam,Lifestyle & Culture,,"Review, News and media, News, UCL Shows, UCL DramaSoc, UCL Society, UCL, Drama Society, Theatre",,
PI0065,2024-01-31,GmbH: The ‘cooperation’ that exists as a medium for fashion and politics,Milla Waldron,Lifestyle & Culture,,politics; Fashion; Art,,
PI0066,2024-02-09,Editorial Issue 11: Tory Soc 'sinks' to new lows,"Emily Whitchurch, Juliette Rapp, Meriel Wehner, Sophie Rogers, Tricia Teo",Editorial,,UCL News; Tory Society; Conservative Party; Rwanda; Yemen; Debate; Student Union,,
PI0067,2024-02-12,Caught ‘port’ handed: UCL Tory soc violate their suspension,Conor Walsh,News,,UCL news; Tory Society; Conservative Party; UCL's Student Union,,
PI0068,2024-02-12,Ethnic tension in Sudan,Amaia Echebarrieta,Features,,"Sudan, Civil War, human rights, Conflict, War, racism, colonialism, Postcolonialism, refugee, Humanitarian crisis, United Nations, Slavery, Genocide, darfur, humanitarian aid, Human Rights",,
PI0069,2024-02-12,Navigating the vagus nerve: from former explorations to novel therapeutic frontiers,Ridaa Mughal,Science and Tech,,neuroscience; medicine,,
PI0070,2024-02-13,UCL Jazz Society’s Fusions: the joy of arts,Celine Effendi,Lifestyle & Culture,,UCL Student; UCL's Student Union,,
PI0071,2024-02-16,Review of UCL Drama Society’s ‘Little Brogues’,Dan Illis,Lifestyle & Culture,,Review; Student Union; UCL's Student Union; Theatre,,
PI0072,2024-02-26,Review: UCLMT’s ‘The Producers’,Coco Kemp-Welch,Lifestyle & Culture,,UCL Society; UCL's Student Union; Theatre; London theatre,,
PI0073,2024-03-07,Potential Breakthrough in the Treatment of Type 1 Diabetes,Sumedha Garyali,Science and Tech,,science; diabetes; medicine; health care,,
PI0074,2024-03-13,UK cancer treatment falls behind other countries,Alex Ford,Science and Tech,,Cancer; NHS; UK politics,,
PI0075,2024-03-17,A future unemployed person’s careers guide,Felix Wallis,Lifestyle & Culture,,"Unemployment, Careers, UCL, Student Life, Consultancy",,
PI0076,2024-05-23,Navigating Challenges: Mary McHarg’s Presidency,Edouard De Bray,Features,,"Mary McHarg, Student Union President, Student Life, Student Support, Student Union",,
PI0077,2024-10-11,100 days of Labour: A Rough Transition from Opposition to Government,Lucy Reade,Opinion,,UK politics; Keir Starmer; Labour Party; Tory Party; UK government; Prime Minister; Parliament,,
PI0078,2024-10-25,Trump’s Fascistic Fantasy Falls Further Into Focus,Alec Oliver,Opinion,,2024 US Presidential Elections; US Politics; Trump; Politics; Elections,,
PI0079,2024-10-31,The Tory Leadership Race: A Gamble That Won’t Pay Off,Lucy Reade,Opinion,,UK Politics; United Kingdom; Conservatives; Conservative Party; Politics,,
PI0080,2024-11-02,Trump’s Fascistic Fantasy Falls Further Into Focus,Alec Oliver,Opinion,,2024 US Presidential Elections; US Politics; Trump; Politics; Elections,,
PI0081,2024-11-02,"Women Can Be Autocrats, Too? Responding to the Gendered Paternalism of US Narratives Around Claudia Sheinbaum",Jack Phillips,Opinion,,Mexico; Rule of Law; Politics; Elections; USA; North America,,
PI0082,2024-11-08,Oil in Guyana: A Blessing or a Curse?,Sara Kapoor,Features,,Politics; Economics; International Relations; Environment; diplomacy,,
PI0083,2024-11-15,Our House Party: Derrick Ellorm’s Grassroots Movement for Local Change,Caroline Hendrickson,Features,,Political Movement; UK politics; Grassroots; reforms; Biography,,
PI0084,2024-11-18,Trump Will Subject States’ Rights to His Hypocrisy,Tomás Quintino Gouveia,Opinion,,Donald Trump; Presidency; US Politics; 2024 US Presidential Elections; Politics; Elections; Policy; Environment; United States,,
PI0085,2024-11-27,Hong Kong’s Show Trials: A Harbinger for the World,Reagan Yip,Opinion,,Hong Kong; Democracy; Freedom; Politics; Elections,,
PI0086,2024-11-28,The Battle Over Mexico’s Judicial Reforms,Jack Phillips,Opinion,,Mexico; Judiciary; Politics; Americas; Social Democracy; Democracy,,
PI0087,2024-11-30,Should You Get Laser Eye Surgery?,Jamie Chan,Science and Tech,,"laser, eye, medicine, science",,
PI0088,2024-12-01,Markets React to France’s Political Troubles,Tomás Quintino Gouveia,News,,France; Finance; Markets; Bonds; Economics; Europe; Eurozone; European Union; French Politics; Budget; Government; Macron; Emmanuel Macron,,
PI0089,2024-12-06,UCL’s The Welkin: A Story of Female Injustice and Power,Maisy Gledhill,Lifestyle & Culture,,"UCL, UCL Shows, Review, Culture, UCL Culture, UCL Event, Bloomsbury Theatre",,
PI0090,2024-12-14,Colonial Shadows in Scientific Journalism: A Legacy of Bias?,Tiegan Flynn,Science and Tech,,"science, Journalism, Decolonising the Curriculum, Colonialism, Postcolonialism",,
PI0091,2024-12-17,British MPs Vote in Favour of Assisted Dying Bill,Jamie King,News,,assisted dying; UK politics; UK News; Healthcare,,
PI0092,2024-12-23,'Is the American Healthcare System Broken Beyond Repair?',Eshaal Nazeer,Opinion,,"health care, Healthcare, united healthcare, USA, us politics, american healthcare, medicine, insurance",,
PI0093,2024-12-23,France Votes to Oust PM: Locked Horns in Deadlock,Joe Whiteman,Features,,France; Politics; Europe; Macron; Emmanuel Macron; Barnier; Michel Barnier,,
PI0094,2024-12-27,Syria’s Future: Can the Region Find Stability After Assad?,Eshaal Nazeer,Features,,Syria; Syrian Civil War; Middle East; Politics,,
PI0095,2025-01-17,The Ignored Heroes: Incarcerated Firefighters and LA’s Wildfire,Lucy Tappin,Opinion,,"us politics, Prison, penitentiary system, Climate Crisis, LA wildfires",,
PI0096,2025-01-23,Keir Starmer Visits UCL East,,News,,UCL; UK politics; Keir Starmer,,
PI0097,2025-02-07,Protesters Gather Outside London Court in Solidarity with Climate Activists,Maryam Mohammed,News,,"London News, Climate, Climate Crisis, Just Stop Oil, Courts, Law",,
PI0098,2025-02-08,‘A Monster Calls’ Review: An Achingly Beautiful Journey into Grief and the Human Condition,Katie Zoltan,Lifestyle & Culture,,"Theatre, UCL Arts, UCL Shows",,
PI0099,2025-02-10,Closure of UCL Main Quad,,News,,UCL; campus,,
PI0100,2025-02-11,UCL International Festival: Celebrating Global Cultures,,News,,UCL; culture; international students,,
PI0101,2025-03-05,Why We Should all Conduct an ‘Inventory of the Mind’: Lessons in Recovery and Overcoming Addiction,Lucy Tappin,Features,,"Addiction, Mental Health, Health, Mind",,
PI0102,2025-03-06,Can the UK Reach Net Zero?,,News,,UK; climate; environment,,
PI0103,2025-03-06,Can the UK Reach Net Zero? Experts Weigh in at UCL’s Climate Summit,Jamie King,News,,"Climate Crisis, ucl news, climate change, Net zero",,
PI0104,2025-03-07,Kick Misogyny Off Campus: UCL Students Demand Change,,News,,UCL; feminism; students,,
PI0105,2025-03-08,UCL Community Saves Main Quad from Closure,,News,,UCL; campus,,
PI0106,2025-03-09,UCL’s Carousel: A Real Nice Show!,Maisy Gledhill,Lifestyle & Culture,,"Bloomsbury Theatre, Review, UCL Shows",,
PI0107,2025-03-11,How Real is the Placebo Effect?,Jamie Chan,Science and Tech,,"science, tech, drugs, pills, medicine, Medical negligence",,
PI0108,2025-03-18,The Biggest Extinction Is Happening Under Your Nose,Milun Nair,Science and Tech,,Climate Crisis,,
PI0109,2025-03-19,Education Officer: 13 Candidates and Plenty of Pledges,Tomás Quintino Gouveia & Lucy Reade,News,,"SU, Student Union, Students Union, Election, SU Electon, Leadership Race",,
PI0110,2025-03-29,University Challenge 2025: UCL Competes for Glory,,News,,UCL; University Challenge,,
PI0111,2025-04-12,Varsity 2025: UCL Futsal Overcome All Odds to Dominate Division-One Champions KCL,Olivia Duggan,Sports,,"Futsal, Varsity, UCL Sports, Varsity 2025, Varsity Series",,
PI0112,2025-04-12,Varsity 2025: UCL Karting Drive Circles Around KCL,Jamie Chan,Sports,,"Karting, Varsity, Varsity 2025, Varsity Series, Sports",,
PI0113,2025-05-02,Varsity 2025: Dramatic Rugby Double-Header Serves a Suiting Finale to the 2025 Edition,Arabella Yates,Sports,,"Sports, UCL Varsity, Varsity 2025, Varsity, Varsity Series, Rugby, UCL, UCL Sports, Men's sports, Women's Sports",,
PI0114,2025-06-15,Disagreeing Well: How UCL Can Foster a Culture of Debate,,News,,UCL; debate; students,,
PI0115,2025-12-16,UCL Club Spotlight: Ultimate Frisbee,Edison Drake,Sports,,"UCL Society, Ultimate Frisbee",,
PI0116,2025-12-24,Ashes Test: England Suffer Humiliating Loss to Australia,Charlotte Peach,Sports,,Cricket;England,,
PI0117,2025-12-24,It Is That Deep: The Rise of Anti-Intellectualism,Kina Akbas,Lifestyle & Culture,,social media;critical thinking;psychology;anti-intellectualism,,
PI0118,2025-12-24,‘More of Her Out There?’: The Comment Section as a Catalyst for Women’s Objectification,Nurulhuda Gumay Riswandi,Lifestyle & Culture,,social media;feminism;TikTok;social commentary,,
PI0119,2026-01-09,"Dispelling AI Myths, Tech Utopias, and Regaining Control",Haris Yusoff,Opinion,,Artificial Intelligence;AI;Technology;big tech,,
PI0120,2026-01-09,Doctors Strike in the run up to Christmas,Altay Shaw,News,,,,
PI0121,2026-01-09,Letterboxd and the Quantification of the Film,Emma Huhtala,Lifestyle & Culture,,film;movies;cinema;letterbox;social media,,
PI0122,2026-01-09,Nativity: Wholesome Trilogy or Horror Show?,Maddy Nugent,Lifestyle & Culture,,christmas;Christmas Movie;movie;nativity,,
PI0123,2026-01-09,The Privilege of Choosing to be Politically Disinterested,Hannah Ransom,Features,,demonstration;politics;apathy;political apathy;trans-rights;human rights;civil rights movement;privilege,,
PI0124,2026-01-09,Turning Rightward: Has Gen-Z Reneged on its Promise of Progressivism?,Isabelle Goodman,Opinion,,politics;Political Protest;political apathy;gen z,,
PI0125,2026-01-09,UK and Ireland Submit Joint Bid to Host 2035 Women’s World Cup,Charlotte Berman,Sports,,World Cup;Women's Football;England;UK;Ireland;Sports,,
PI0126,2026-01-09,WSL League Cup Draw Controversy: Did GK Barry Disrespect the Women's Game?,Chloe Shields,Sports,,Women's sports;Women's Football;social media;GK Barry;TikTok,,
PI0127,2026-01-11,Chanel Metiers d'art 2026: Is Commuting Chic?,Bluebell Horner,Lifestyle & Culture,,Fashion;Commute;London;Runway,,
PI0128,2026-01-11,Gen-Z Bashing: What Constant Criticism does to our Generation,Finbar Seery,Features,,gen-z;young people;social media;criticism;millenials,,
PI0129,2026-01-11,Why Do Some Wars Capture the World’s Attention While Others Are Forgotten?,Emily Webb Mariscal,Features,,war;violence;media;sudan;yemen;Israel-Gaza;aid,,
PI0130,2026-01-15,Benin Coup Thwarted by Loyalist Forces,Qanita Ghauri,News,,benin;Coups;west africa,,
PI0131,2026-01-16,"Autistic Barbie is Not Representative of the Entire Community, But That Might Be The Point",Maddy Nugent,Lifestyle & Culture,,barbie;doll;autism;Representation,,
PI0132,2026-01-16,Why the Grammys’ Journey with Country Music Has Only Become More Turbulent,Anna Busby,Lifestyle & Culture,,grammys;music;country,,
PI0133,2026-01-17,The Pi Perspective: Week 2,Pi Media,Editorial,,london;London Life;Politics;Lifestyle;Opinion,,
PI0134,2026-01-18,Hamnet: The Boy Behind the Bard,Amy Orford,Lifestyle & Culture,,Hamnet;Shakespeare;Cinema,,
PI0135,2026-01-18,Like Cats and Dogs: Why NHL’s Dallas Stars and NBA’s Dallas Mavericks are Suing Each Other,Arsen Ashlyayev,Sports,,American sports;Hockey;Basketball;legal system,,
PI0136,2026-01-18,Why There Will Never Be Another Like David Bowie,Ben McIlree,Opinion,,David Bowie;Queer Identity;David Bowie's death;Queer icon;Self-expression,,
PI0137,2026-01-19,A Civilian Shield or a War Crime? The Fatal Collapse of Protection for Journalists.,Nurulhuda Gumay Riswandi,Opinion,,Journalism;conflict,,
PI0138,2026-01-19,World Cup Groups are Drawn: What's in Store for Viewers This Summer,Zahrah Syed,Sports,,World Cup;Football,,
PI0139,2026-01-20,From Taboo to Trend: How Modern Dating Culture Has Normalised Non-Monogamy,Jemima Corcoran,Lifestyle & Culture,,taboo;Valentine's Day;dating;dating apps,,
PI0140,2026-01-20,Lessons from the Past: What the History of the Labour Party Can Tell Us About This Government’s Problems,Joel Edgeworth,Opinion,,Labour Party;Government;History,,
PI0141,2026-01-20,Venezuelan Opposition Leader Machado Gifts Trump Nobel prize after White House Meeting,Edison Drake,News,,,,
PI0142,2026-01-20,Zack Polanski and Zohran Mamdani: Two Creatives; Two Visions of Hope.,Diya Manju,Opinion,,Arts;Culture;Politics;Green Party;Mamdani;New York,,
PI0143,2026-01-22,Does Andrew Mountbatten-Windsor Represent the Problem with Having a Monarchy?,Mia McAllen,Opinion,,Andrew Mountbatten-Windsor;Epstein;Monarchy;Inequality;Wealthy Elite;wealth disparity;Queen Elizabeth II,,
PI0144,2026-01-22,"Grok, X, and a New Age of Sexual Harassment: How AI Is Enabling Abuse",Mariam Altabba,Opinion,,Artificial Intelligence;Elon Musk;Twitter;Misogyny,,
PI0145,2026-01-22,People We Meet on Vacation: A Resurrection of Old-School Rom-Coms?,Elle Conway,Lifestyle & Culture,,film;romcom;emily henry;movie,,
PI0146,2026-01-22,Trump claims he is ready to “help” Iranian protesters – but is he really?,Katie Harwood,Opinion,,Trump;Iran;Colonialism,,
PI0147,2026-01-24,The Pi Perspective: Week 3,Pi Media,Editorial,,News;news;Opinion,,
PI0148,2026-01-29,China’s ‘Artificial Sun’ That Could Change The Future of Energy,Caitlin Huntley,Science and Tech,,Science;Nuclear Energy;China;Renewable Energy,,
PI0149,2026-01-29,Gossip Girl: The Devil’s Telephone or the Basis of Social Bonding?,Aoi Blank,Features,,gossip;society;Feminism,,
PI0150,2026-01-29,Queer Eye For The Toxic Guy: Unpacking the Alleged Drama Between the Fab Five,Jemima Corcoran,Lifestyle & Culture,,Netflix;TV;TV and Film,,
PI0151,2026-01-29,Twinless: Dylan O'Brien's Best Performance Yet?,Anastasia Storey,Lifestyle & Culture,,movies;Movie Review;movie;Movies,,
PI0152,2026-01-31,'It's Okay to Dream Big': Josh Safdie's Marty Supreme,Anna Pringle,Lifestyle & Culture,,Movie Review;movies;Timothee Chalamet;Film Review,,
PI0153,2026-01-31,Is the Role of a Manager Fading in Modern Football?,Arsen Ashlyayev,Sports,,Football;Manchester United;Chelsea,,
PI0154,2026-01-31,"Less Mogging, More Yearning: Benedict Saves Bridgerton",Maddy Nugent,Lifestyle & Culture,,Bridgerton;Love;TV;TV and Film,,
PI0155,2026-02-01,The Pi Perspective: Week 4,Pi Media,Editorial,,news;London News;UK News;News and media;Opinion,,
PI0156,2026-02-02,'Brand Beckham Comes First': Brooklyn Confirms Beckxit in Scathing Statement,Anastasia Storey,Lifestyle & Culture,,Fame;drama;gossip,,
PI0157,2026-02-02,Conservatives in Crisis: Is There Any Way Back for History’s Most Successful Political Party?,Manraj Atwal,Opinion,,conservatives;Conservatives;Conservative Party;conservativism,,
